episode,return_mean,return_std,policy_loss,value_loss,entropy
5950,0.00,1.00,-0.0002,0.0040,0.0128
6000,0.00,1.00,-0.0004,0.0045,0.0126
6050,-0.00,1.00,0.0002,0.0042,0.0130
6100,0.00,1.00,-0.0007,0.0040,0.0128
6150,0.00,1.00,0.0017,0.0052,0.0134
6200,0.00,1.00,-0.0005,0.0041,0.0134
6250,0.00,1.00,0.0015,0.0042,0.0132
6300,-0.00,1.00,-0.0017,0.0040,0.0124
6350,0.00,1.00,-0.0000,0.0036,0.0130
6400,-0.00,1.00,0.0008,0.0045,0.0129
6450,0.00,1.00,0.0004,0.0041,0.0124
6500,-0.00,1.00,-0.0017,0.0037,0.0126
6550,-0.00,1.00,-0.0001,0.0054,0.0122
6600,-0.00,1.00,-0.0001,0.0039,0.0118
6650,0.00,1.00,0.0007,0.0049,0.0118
6700,-0.00,1.00,0.0001,0.0048,0.0122
6750,-0.00,1.00,-0.0017,0.0044,0.0117
6800,-0.00,1.00,0.0008,0.0051,0.0116
6850,0.00,1.00,-0.0004,0.0047,0.0110
6900,0.00,1.00,-0.0001,0.0048,0.0109
6950,-0.00,1.00,0.0014,0.0048,0.0117
7000,0.00,1.00,0.0011,0.0043,0.0114
