episode,final_balance,cum_reward
290,1002.00,2.00
291,1010.00,10.00
292,1004.00,4.00
293,1010.00,10.00
294,1010.00,10.00
295,1007.00,7.00
296,990.00,-10.00
297,987.00,-13.00
298,1013.00,13.00
299,1008.00,8.00
300,1023.00,23.00
301,1020.00,20.00
302,986.00,-14.00
303,1005.00,5.00
304,1004.00,4.00
305,1011.00,11.00
306,1005.00,5.00
307,1004.00,4.00
308,1017.00,17.00
309,998.00,-2.00
310,1005.00,5.00
311,1005.00,5.00
312,1014.00,14.00
313,1001.00,1.00
314,998.00,-2.00
315,1007.00,7.00
316,1015.00,15.00
317,995.00,-5.00
318,1004.00,4.00
319,1003.00,3.00
320,1011.00,11.00
321,993.00,-7.00
322,1017.00,17.00
323,1008.00,8.00
324,1004.00,4.00
325,991.00,-9.00
326,1004.00,4.00
327,1016.00,16.00
328,1015.00,15.00
329,1011.00,11.00
330,1016.00,16.00
331,1003.00,3.00
332,1004.00,4.00
333,1026.00,26.00
334,1022.00,22.00
335,1001.00,1.00
336,1002.00,2.00
337,1003.00,3.00
338,1012.00,12.00
339,1003.00,3.00
340,992.00,-8.00
341,1005.00,5.00
342,998.00,-2.00
343,1013.00,13.00
344,1001.00,1.00
345,980.00,-20.00
346,1009.00,9.00
347,1011.00,11.00
348,1014.00,14.00
349,995.00,-5.00
350,1006.00,6.00
351,998.00,-2.00
352,1002.00,2.00
353,1001.00,1.00
354,993.00,-7.00
355,1014.00,14.00
356,1019.00,19.00
357,1000.00,0.00
358,1007.00,7.00
359,1000.00,0.00
360,1006.00,6.00
361,1001.00,1.00
362,1018.00,18.00
363,1010.00,10.00
364,1017.00,17.00
365,1025.00,25.00
366,1011.00,11.00
367,1014.00,14.00
368,1014.00,14.00
369,998.00,-2.00
370,1011.00,11.00
371,1009.00,9.00
372,1013.00,13.00
373,1018.00,18.00
374,1005.00,5.00
375,1000.00,0.00
376,1018.00,18.00
377,1017.00,17.00
378,1004.00,4.00
379,999.00,-1.00
380,1017.00,17.00
381,1001.00,1.00
382,1017.00,17.00
383,1012.00,12.00
384,986.00,-14.00
385,1000.00,0.00
386,1013.00,13.00
387,1006.00,6.00
388,998.00,-2.00
389,1010.00,10.00
390,994.00,-6.00
391,992.00,-8.00
392,1005.00,5.00
393,1001.00,1.00
394,1008.00,8.00
395,1004.00,4.00
396,1000.00,0.00
397,1022.00,22.00
398,1012.00,12.00
399,1020.00,20.00
400,1020.00,20.00
401,1001.00,1.00
402,1000.00,0.00
403,1021.00,21.00
404,1011.00,11.00
405,1019.00,19.00
406,1005.00,5.00
407,1015.00,15.00
408,1025.00,25.00
409,1003.00,3.00
410,1009.00,9.00
411,1020.00,20.00
412,1012.00,12.00
413,1012.00,12.00
414,1000.00,0.00
415,1012.00,12.00
416,1015.00,15.00
417,998.00,-2.00
418,1011.00,11.00
419,1015.00,15.00
420,993.00,-7.00
421,1038.00,38.00
422,1004.00,4.00
423,992.00,-8.00
424,1021.00,21.00
425,1012.00,12.00
426,1008.00,8.00
427,1008.00,8.00
428,1001.00,1.00
429,1016.00,16.00
430,1023.00,23.00
431,999.00,-1.00
432,994.00,-6.00
433,1005.00,5.00
434,1007.00,7.00
435,995.00,-5.00
436,992.00,-8.00
