episode,timestep,reward
0,2,0.0
0,4,0.0
0,6,-2000000.0
0,8,0.0
0,10,-1000000.0
0,12,0.0
0,14,-1000000.0
0,16,1000000.0
0,18,1000000.0
0,20,0.0
0,22,-1000000.0
0,24,-1000000.0
0,26,0.0
0,28,-1000000.0
0,30,-1000000.0
0,32,-2000000.0
0,34,-1000000.0
0,36,-1000000.0
0,38,1000000.0
0,40,0.0
0,42,0.0
0,44,-1000000.0
0,46,0.0
0,48,1000000.0
0,50,0.0
0,52,0.0
0,54,-1000000.0
0,56,0.0
1,58,-10.0
1,60,1000000.0
1,62,-2000000.0
1,64,-1000000.0
1,66,1000000.0
1,68,0.0
1,70,1000000.0
1,72,1000000.0
1,74,2000000.0
1,76,1000000.0
1,78,2000000.0
1,80,-1000000.0
1,82,1000000.0
1,84,2000000.0
1,86,0.0
1,88,2000000.0
1,90,1000000.0
1,92,0.0
1,94,2000000.0
1,96,0.0
1,98,-1000000.0
1,100,0.0
1,102,-2000000.0
1,104,-1000000.0
1,106,-2000000.0
1,108,1000000.0
1,110,-2000000.0
1,112,-1000000.0
1,114,-1000000.0
1,116,2000000.0
1,118,2000000.0
1,120,1000000.0
1,122,2000000.0
1,124,2000000.0
1,126,2000000.0
1,128,2000000.0
1,130,2000000.0
1,132,2000000.0
1,134,2000000.0
1,136,2000000.0
1,138,2000000.0
2,140,30.0
2,142,2000000.0
2,144,2000000.0
2,146,2000000.0
2,148,2000000.0
2,150,2000000.0
2,152,2000000.0
2,154,2000000.0
2,156,2000000.0
2,158,2000000.0
2,160,2000000.0
2,162,2000000.0
2,164,2000000.0
2,166,2000000.0
2,168,2000000.0
2,170,2000000.0
2,172,2000000.0
2,174,2000000.0
2,176,2000000.0
2,178,2000000.0
2,180,2000000.0
3,182,44.0
3,184,2000000.0
3,186,2000000.0
3,188,2000000.0
3,190,2000000.0
3,192,2000000.0
3,194,2000000.0
3,196,2000000.0
3,198,2000000.0
3,200,2000000.0
3,202,2000000.0
3,204,2000000.0
3,206,2000000.0
3,208,2000000.0
3,210,2000000.0
3,212,2000000.0
3,214,2000000.0
3,216,2000000.0
3,218,2000000.0
3,220,2000000.0
3,222,2000000.0
3,224,2000000.0
4,226,44.0
4,228,-2000000.0
4,230,-2000000.0
4,232,-2000000.0
4,234,-2000000.0
4,236,-2000000.0
4,238,-2000000.0
4,240,-2000000.0
4,242,-2000000.0
4,244,-2000000.0
4,246,-2000000.0
4,248,-2000000.0
4,250,-2000000.0
4,252,-2000000.0
4,254,-2000000.0
4,256,-2000000.0
4,258,-2000000.0
4,260,-2000000.0
5,262,-37.0
5,264,-2000000.0
5,266,-2000000.0
5,268,-2000000.0
5,270,-2000000.0
5,272,-2000000.0
5,274,-2000000.0
5,276,-2000000.0
5,278,-2000000.0
5,280,-2000000.0
5,282,-2000000.0
5,284,-2000000.0
5,286,-2000000.0
5,288,-2000000.0
5,290,-2000000.0
5,292,-2000000.0
5,294,-2000000.0
5,296,-2000000.0
5,298,-2000000.0
5,300,-2000000.0
5,302,-2000000.0
5,304,-2000000.0
6,306,-42.0
6,308,2000000.0
6,310,2000000.0
6,312,2000000.0
6,314,2000000.0
6,316,2000000.0
6,318,2000000.0
6,320,2000000.0
6,322,2000000.0
6,324,2000000.0
6,326,2000000.0
6,328,2000000.0
6,330,2000000.0
6,332,2000000.0
6,334,2000000.0
6,336,2000000.0
6,338,2000000.0
6,340,2000000.0
6,342,2000000.0
6,344,2000000.0
7,346,38.0
7,348,-2000000.0
7,350,-2000000.0
7,352,-2000000.0
7,354,-2000000.0
7,356,-2000000.0
7,358,-2000000.0
7,360,-2000000.0
7,362,2000000.0
7,364,2000000.0
7,366,2000000.0
7,368,2000000.0
7,370,2000000.0
7,372,2000000.0
7,374,2000000.0
7,376,2000000.0
7,378,2000000.0
7,380,2000000.0
7,382,2000000.0
7,384,2000000.0
7,386,2000000.0
7,388,2000000.0
7,390,2000000.0
7,392,2000000.0
7,394,2000000.0
7,396,2000000.0
7,398,2000000.0
7,400,2000000.0
7,402,2000000.0
8,404,28.0
8,406,2000000.0
8,408,2000000.0
8,410,2000000.0
8,412,2000000.0
8,414,2000000.0
8,416,2000000.0
8,418,2000000.0
8,420,2000000.0
8,422,0.0
8,424,-2000000.0
8,426,-2000000.0
8,428,-2000000.0
8,430,-2000000.0
8,432,-2000000.0
8,434,-2000000.0
8,436,-2000000.0
8,438,-2000000.0
8,440,-2000000.0
8,442,-2000000.0
8,444,-1000000.0
8,446,2000000.0
8,448,2000000.0
8,450,2000000.0
8,452,2000000.0
8,454,2000000.0
8,456,2000000.0
8,458,2000000.0
8,460,2000000.0
8,462,2000000.0
8,464,2000000.0
9,466,20.0
9,468,2000000.0
9,470,2000000.0
9,472,2000000.0
9,474,2000000.0
9,476,2000000.0
9,478,2000000.0
9,480,0.0
9,482,-2000000.0
9,484,-2000000.0
9,486,-1000000.0
9,488,-2000000.0
9,490,0.0
9,492,-1000000.0
9,494,-2000000.0
9,496,-1000000.0
9,498,-1000000.0
9,500,-2000000.0
9,502,0.0
9,504,0.0
9,506,0.0
9,508,0.0
9,510,0.0
9,512,0.0
9,514,-1000000.0
9,516,-1000000.0
9,518,-1000000.0
9,520,0.0
9,522,0.0
10,524,-3.0
10,526,2000000.0
10,528,1000000.0
10,530,1000000.0
10,532,1000000.0
10,534,1000000.0
10,536,0.0
10,538,0.0
10,540,0.0
10,542,-1000000.0
10,544,0.0
10,546,-1000000.0
10,548,0.0
10,550,0.0
10,552,0.0
10,554,0.0
10,556,0.0
10,558,0.0
10,560,0.0
10,562,0.0
10,564,0.0
10,566,1000000.0
10,568,0.0
10,570,-1000000.0
10,572,-1000000.0
10,574,-1000000.0
10,576,0.0
11,578,3.0
11,580,0.0
11,582,0.0
11,584,-1000000.0
11,586,1000000.0
11,588,1000000.0
11,590,0.0
11,592,0.0
11,594,0.0
11,596,0.0
11,598,1000000.0
11,600,0.0
11,602,0.0
11,604,2000000.0
11,606,0.0
11,608,0.0
11,610,1000000.0
11,612,0.0
11,614,0.0
11,616,2000000.0
11,618,1000000.0
12,620,8.0
12,622,0.0
12,624,0.0
12,626,0.0
12,628,0.0
12,630,0.0
12,632,0.0
12,634,0.0
12,636,1000000.0
12,638,1000000.0
12,640,0.0
12,642,0.0
12,644,0.0
12,646,0.0
12,648,0.0
13,650,2.0
13,652,0.0
13,654,0.0
13,656,0.0
13,658,0.0
13,660,2000000.0
13,662,0.0
13,664,0.0
13,666,1000000.0
13,668,0.0
13,670,0.0
13,672,0.0
13,674,1000000.0
13,676,1000000.0
13,678,1000000.0
13,680,0.0
13,682,0.0
13,684,1000000.0
13,686,1000000.0
14,688,8.0
14,690,1000000.0
14,692,2000000.0
14,694,1000000.0
14,696,0.0
14,698,0.0
14,700,0.0
14,702,1000000.0
14,704,0.0
14,706,0.0
14,708,0.0
14,710,0.0
14,712,0.0
14,714,0.0
14,716,0.0
14,718,0.0
14,720,0.0
14,722,0.0
14,724,0.0
14,726,1000000.0
14,728,0.0
14,730,1000000.0
14,732,1000000.0
14,734,1000000.0
14,736,-1000000.0
14,738,0.0
14,740,-2000000.0
14,742,0.0
14,744,-2000000.0
14,746,-1000000.0
14,748,-2000000.0
14,750,-2000000.0
14,752,-1000000.0
15,754,-4.0
15,756,0.0
15,758,0.0
15,760,1000000.0
15,762,0.0
15,764,1000000.0
15,766,0.0
15,768,0.0
15,770,0.0
15,772,1000000.0
15,774,1000000.0
15,776,1000000.0
15,778,2000000.0
15,780,1000000.0
15,782,2000000.0
15,784,1000000.0
15,786,2000000.0
15,788,0.0
15,790,2000000.0
15,792,1000000.0
15,794,2000000.0
15,796,0.0
15,798,1000000.0
15,800,2000000.0
15,802,1000000.0
15,804,2000000.0
15,806,2000000.0
15,808,0.0
16,810,28.0
16,812,-2000000.0
16,814,-1000000.0
16,816,-2000000.0
16,818,-1000000.0
16,820,-1000000.0
16,822,-2000000.0
16,824,-2000000.0
16,826,-2000000.0
16,828,-2000000.0
16,830,-2000000.0
16,832,-1000000.0
16,834,-2000000.0
16,836,-2000000.0
16,838,-2000000.0
16,840,-2000000.0
16,842,-2000000.0
16,844,-2000000.0
16,846,-2000000.0
16,848,-2000000.0
17,850,-35.0
17,852,-1000000.0
