episode,timestep,reward
0,20,0.0
0,40,-1000000.0
1,60,1.0
1,80,0.0
1,100,0.0
1,120,-1000000.0
2,140,3.0
2,160,4000000.0
2,180,7000000.0
3,200,15.0
3,220,12000000.0
4,240,21.0
4,260,-9000000.0
5,280,-17.0
5,300,-11000000.0
6,320,-13.0
6,340,8000000.0
7,360,4.0
7,380,-1000000.0
7,400,-1000000.0
8,420,-12.0
8,440,-2000000.0
8,460,1000000.0
9,480,0.0
9,500,-8000000.0
9,520,-6000000.0
10,540,-11.0
10,560,6000000.0
11,580,11.0
11,600,0.0
12,620,-1.0
12,640,8000000.0
13,660,31.0
13,680,11000000.0
14,700,29.0
14,720,14000000.0
14,740,7000000.0
15,760,32.0
15,780,15000000.0
15,800,9000000.0
16,820,36.0
16,840,-15000000.0
17,860,-26.0
17,880,-15000000.0
18,900,-26.0
18,920,6000000.0
18,940,9000000.0
19,960,36.0
19,980,16000000.0
20,1000,24.0
20,1020,-13000000.0
21,1040,-24.0
21,1060,0.0
22,1080,11.0
22,1100,-5000000.0
22,1120,-7000000.0
23,1140,-7.0
23,1160,7000000.0
24,1180,9.0
24,1200,-4000000.0
25,1220,5.0
26,1240,34.0
26,1260,3000000.0
26,1280,5000000.0
27,1300,9.0
27,1320,13000000.0
28,1340,28.0
29,1360,47.0
29,1380,-5000000.0
29,1400,9000000.0
29,1420,-11000000.0
30,1440,-13.0
31,1460,-1.0
31,1480,10000000.0
32,1500,38.0
32,1520,1000000.0
33,1540,-17.0
33,1560,11000000.0
34,1580,17.0
34,1600,-2000000.0
34,1620,5000000.0
35,1640,-1.0
35,1660,2000000.0
35,1680,-8000000.0
36,1700,-14.0
36,1720,-9000000.0
37,1740,-10.0
37,1760,3000000.0
38,1780,11.0
38,1800,4000000.0
38,1820,1000000.0
39,1840,4.0
39,1860,-10000000.0
40,1880,-15.0
40,1900,-6000000.0
40,1920,-3000000.0
40,1940,-3000000.0
40,1960,6000000.0
41,1980,3.0
41,2000,10000000.0
42,2020,32.0
42,2040,4000000.0
43,2060,19.0
43,2080,1000000.0
43,2100,-1000000.0
44,2120,3.0
44,2140,0.0
44,2160,2000000.0
45,2180,2.0
45,2200,-1000000.0
45,2220,11000000.0
46,2240,22.0
46,2260,0.0
46,2280,1000000.0
47,2300,3.0
47,2320,0.0
47,2340,1000000.0
48,2360,-2.0
48,2380,1000000.0
49,2400,14.0
49,2420,16000000.0
49,2440,11000000.0
50,2460,29.0
50,2480,-2000000.0
50,2500,4000000.0
50,2520,2000000.0
50,2540,1000000.0
51,2560,-1.0
51,2580,2000000.0
51,2600,4000000.0
52,2620,1.0
52,2640,-2000000.0
53,2660,3.0
53,2680,2000000.0
53,2700,-6000000.0
54,2720,4.0
54,2740,3000000.0
55,2760,8.0
55,2780,0.0
56,2800,-5.0
56,2820,3000000.0
57,2840,11.0
57,2860,2000000.0
58,2880,15.0
58,2900,2000000.0
58,2920,0.0
59,2940,25.0
59,2960,3000000.0
59,2980,-7000000.0
60,3000,28.0
60,3020,3000000.0
61,3040,40.0
61,3060,19000000.0
61,3080,12000000.0
62,3100,45.0
62,3120,-5000000.0
62,3140,2000000.0
63,3160,7.0
63,3180,-8000000.0
64,3200,-38.0
64,3220,10000000.0
64,3240,-8000000.0
65,3260,-3.0
65,3280,-1000000.0
65,3300,0.0
66,3320,-14.0
66,3340,-10000000.0
67,3360,-31.0
67,3380,3000000.0
67,3400,4000000.0
68,3420,10.0
69,3440,11.0
69,3460,-1000000.0
69,3480,10000000.0
70,3500,-4.0
70,3520,0.0
71,3540,-4.0
71,3560,-4000000.0
71,3580,6000000.0
72,3600,0.0
72,3620,7000000.0
73,3640,3.0
73,3660,2000000.0
74,3680,15.0
74,3700,8000000.0
74,3720,-6000000.0
75,3740,18.0
75,3760,-3000000.0
75,3780,10000000.0
76,3800,13.0
76,3820,-11000000.0
77,3840,-22.0
77,3860,3000000.0
77,3880,-4000000.0
78,3900,18.0
78,3920,-3000000.0
78,3940,-12000000.0
79,3960,-10.0
79,3980,4000000.0
79,4000,1000000.0
80,4020,11.0
80,4040,12000000.0
80,4060,3000000.0
81,4080,19.0
81,4100,4000000.0
81,4120,2000000.0
81,4140,9000000.0
82,4160,18.0
82,4180,1000000.0
82,4200,10000000.0
83,4220,25.0
83,4240,8000000.0
84,4260,20.0
84,4280,0.0
85,4300,3.0
85,4320,6000000.0
86,4340,26.0
86,4360,5000000.0
87,4380,27.0
87,4400,5000000.0
87,4420,10000000.0
87,4440,1000000.0
88,4460,26.0
88,4480,-3000000.0
88,4500,-8000000.0
89,4520,-19.0
89,4540,-1000000.0
89,4560,8000000.0
90,4580,-4.0
90,4600,7000000.0
90,4620,2000000.0
91,4640,18.0
91,4660,-12000000.0
92,4680,-33.0
92,4700,4000000.0
92,4720,3000000.0
92,4740,10000000.0
92,4760,4000000.0
92,4780,9000000.0
93,4800,47.0
93,4820,14000000.0
94,4840,40.0
94,4860,-2000000.0
94,4880,-3000000.0
95,4900,-5.0
95,4920,-4000000.0
95,4940,5000000.0
96,4960,2.0
96,4980,7000000.0
97,5000,3.0
97,5020,8000000.0
97,5040,6000000.0
97,5060,0.0
98,5080,10.0
98,5100,-10000000.0
99,5120,-25.0
99,5140,-6000000.0
99,5160,12000000.0
100,5180,16.0
100,5200,0.0
100,5220,6000000.0
101,5240,16.0
101,5260,14000000.0
102,5280,34.0
102,5300,-1000000.0
103,5320,25.0
103,5340,-9000000.0
104,5360,-22.0
104,5380,-6000000.0
104,5400,-5000000.0
104,5420,-2000000.0
105,5440,-17.0
105,5460,2000000.0
105,5480,13000000.0
106,5500,17.0
106,5520,6000000.0
106,5540,8000000.0
107,5560,6.0
107,5580,1000000.0
108,5600,7.0
108,5620,4000000.0
109,5640,22.0
110,5660,12.0
110,5680,-4000000.0
110,5700,8000000.0
111,5720,25.0
111,5740,-4000000.0
112,5760,-8.0
112,5780,10000000.0
112,5800,1000000.0
113,5820,28.0
113,5840,4000000.0
114,5860,19.0
114,5880,4000000.0
115,5900,15.0
115,5920,6000000.0
116,5940,23.0
116,5960,5000000.0
116,5980,2000000.0
117,6000,8.0
117,6020,0.0
117,6040,9000000.0
118,6060,25.0
118,6080,5000000.0
118,6100,4000000.0
119,6120,31.0
119,6140,0.0
120,6160,3.0
120,6180,0.0
120,6200,3000000.0
120,6220,5000000.0
121,6240,14.0
121,6260,5000000.0
123,6280,10.5
123,6300,11000000.0
123,6320,5000000.0
124,6340,29.0
124,6360,-4000000.0
124,6380,0.0
124,6400,1000000.0
125,6420,11.0
125,6440,6000000.0
126,6460,13.0
126,6480,-1000000.0
127,6500,2.0
127,6520,4000000.0
127,6540,-4000000.0
128,6560,15.0
128,6580,3000000.0
128,6600,6000000.0
129,6620,33.0
129,6640,-4000000.0
129,6660,5000000.0
130,6680,28.0
130,6700,7000000.0
130,6720,7000000.0
130,6740,3000000.0
131,6760,20.0
131,6780,13000000.0
131,6800,-6000000.0
132,6820,12.0
132,6840,8000000.0
132,6860,-7000000.0
132,6880,2000000.0
133,6900,2.0
133,6920,2000000.0
134,6940,-5.0
134,6960,-1000000.0
135,6980,13.0
135,7000,4000000.0
136,7020,17.0
136,7040,6000000.0
136,7060,8000000.0
137,7080,10.0
137,7100,13000000.0
138,7120,31.0
138,7140,7000000.0
138,7160,1000000.0
139,7180,16.0
139,7200,10000000.0
139,7220,12000000.0
140,7240,41.0
140,7260,5000000.0
141,7280,23.0
141,7300,7000000.0
142,7320,27.0
142,7340,3000000.0
143,7360,9.0
143,7380,12000000.0
143,7400,13000000.0
144,7420,35.0
144,7440,7000000.0
144,7460,0.0
145,7480,20.0
145,7500,6000000.0
145,7520,12000000.0
146,7540,24.0
146,7560,3000000.0
147,7580,17.0
147,7600,6000000.0
148,7620,12.0
148,7640,-5000000.0
149,7660,12.0
149,7680,9000000.0
149,7700,2000000.0
150,7720,18.0
150,7740,2000000.0
151,7760,15.0
151,7780,-1000000.0
152,7800,13.0
152,7820,-5000000.0
152,7840,-6000000.0
152,7860,-7000000.0
153,7880,-14.0
153,7900,9000000.0
