episode,timestep,reward
3,200,0.0
7,400,0.0
11,600,0.0
15,800,0.0
20,1000,0.0
24,1200,0.0
29,1400,0.0
34,1600,0.0
38,1800,0.0
41,2000,0.0
45,2200,0.0
49,2400,0.0
51,2600,0.0
56,2800,0.0
60,3000,0.0
64,3200,0.0
67,3400,0.0
72,3600,0.0
76,3800,0.0
79,4000,0.0
82,4200,0.0
87,4400,0.0
90,4600,0.0
93,4800,0.0
97,5000,0.0
100,5200,0.0
104,5400,0.0
108,5600,0.0
112,5800,0.0
117,6000,0.0
120,6200,0.0
124,6400,0.0
128,6600,0.0
131,6800,0.0
135,7000,0.0
139,7200,0.0
143,7400,0.0
147,7600,0.0
152,7800,0.0
155,8000,0.0
159,8200,0.0
163,8400,0.0
166,8600,0.0
171,8800,0.0
175,9000,0.0
178,9200,0.0
182,9400,0.0
186,9600,0.0
191,9800,0.0
194,10000,0.0
199,10200,0.0
203,10400,0.0
207,10600,0.0
212,10800,0.0
217,11000,0.0
221,11200,0.0
224,11400,0.0
228,11600,0.0
232,11800,0.0
235,12000,0.0
239,12200,0.0
243,12400,0.0
247,12600,0.0
251,12800,0.0
255,13000,0.0
259,13200,0.0
263,13400,0.0
266,13600,0.0
270,13800,0.0
273,14000,0.0
276,14200,0.0
280,14400,0.0
283,14600,0.0
288,14800,0.0
291,15000,0.0
296,15200,0.0
300,15400,0.0
303,15600,0.0
308,15800,0.0
312,16000,0.0
314,16200,0.0
318,16400,0.0
322,16600,0.0
326,16800,0.0
330,17000,0.0
335,17200,0.0
338,17400,0.0
342,17600,0.0
346,17800,0.0
349,18000,0.0
354,18200,0.0
358,18400,0.0
361,18600,0.0
365,18800,0.0
369,19000,0.0
374,19200,0.0
377,19400,0.0
382,19600,0.0
386,19800,0.0
390,20000,0.0
395,20200,0.0
400,20400,0.0
404,20600,0.0
408,20800,0.0
412,21000,0.0
415,21200,0.0
418,21400,0.0
422,21600,0.0
426,21800,0.0
430,22000,0.0
434,22200,0.0
438,22400,0.0
442,22600,0.0
446,22800,0.0
449,23000,0.0
453,23200,0.0
457,23400,0.0
460,23600,0.0
463,23800,0.0
467,24000,0.0
470,24200,0.0
474,24400,0.0
479,24600,0.0
483,24800,0.0
486,25000,0.0
491,25200,0.0
495,25400,0.0
498,25600,0.0
501,25800,0.0
506,26000,0.0
509,26200,0.0
513,26400,0.0
518,26600,0.0
522,26800,0.0
525,27000,0.0
529,27200,0.0
533,27400,0.0
537,27600,0.0
541,27800,0.0
544,28000,0.0
549,28200,0.0
553,28400,0.0
557,28600,0.0
561,28800,0.0
565,29000,0.0
569,29200,0.0
573,29400,0.0
578,29600,0.0
583,29800,0.0
587,30000,0.0
591,30200,0.0
595,30400,0.0
598,30600,0.0
602,30800,0.0
605,31000,0.0
609,31200,0.0
613,31400,0.0
617,31600,0.0
621,31800,0.0
625,32000,0.0
629,32200,0.0
632,32400,0.0
636,32600,0.0
640,32800,0.0
643,33000,0.0
646,33200,0.0
650,33400,0.0
654,33600,0.0
657,33800,0.0
662,34000,0.0
666,34200,0.0
670,34400,0.0
673,34600,0.0
678,34800,0.0
681,35000,0.0
684,35200,0.0
688,35400,0.0
693,35600,0.0
696,35800,0.0
701,36000,0.0
705,36200,0.0
708,36400,0.0
712,36600,0.0
716,36800,0.0
720,37000,0.0
724,37200,0.0
728,37400,0.0
732,37600,0.0
736,37800,0.0
739,38000,0.0
744,38200,0.0
748,38400,0.0
752,38600,0.0
756,38800,0.0
761,39000,0.0
765,39200,0.0
770,39400,0.0
774,39600,0.0
778,39800,0.0
781,40000,0.0
785,40200,0.0
788,40400,0.0
792,40600,0.0
796,40800,0.0
800,41000,0.0
804,41200,0.0
808,41400,0.0
812,41600,0.0
816,41800,0.0
819,42000,0.0
823,42200,0.0
826,42400,0.0
829,42600,0.0
833,42800,0.0
837,43000,0.0
841,43200,0.0
844,43400,0.0
849,43600,0.0
853,43800,0.0
856,44000,0.0
861,44200,0.0
865,44400,0.0
868,44600,0.0
872,44800,0.0
875,45000,0.0
880,45200,0.0
884,45400,0.0
888,45600,0.0
891,45800,0.0
896,46000,0.0
899,46200,0.0
903,46400,0.0
908,46600,0.0
911,46800,0.0
915,47000,0.0
919,47200,0.0
922,47400,0.0
927,47600,0.0
931,47800,0.0
935,48000,0.0
939,48200,0.0
944,48400,0.0
949,48600,0.0
954,48800,0.0
958,49000,0.0
961,49200,0.0
965,49400,0.0
968,49600,0.0
971,49800,0.0
975,50000,0.0
979,50200,0.0
983,50400,0.0
987,50600,0.0
991,50800,0.0
995,51000,0.0
999,51200,0.0
1002,51400,0.0
1007,51600,0.0
1010,51800,0.0
1012,52000,0.0
1016,52200,0.0
1020,52400,0.0
1024,52600,0.0
1027,52800,0.0
1032,53000,0.0
1036,53200,0.0
1040,53400,0.0
1044,53600,0.0
1048,53800,0.0
1051,54000,0.0
1055,54200,0.0
1059,54400,0.0
1063,54600,0.0
1067,54800,0.0
1071,55000,0.0
1075,55200,0.0
1079,55400,0.0
1082,55600,0.0
1086,55800,0.0
1091,56000,0.0
1094,56200,0.0
1098,56400,0.0
1102,56600,0.0
1105,56800,0.0
1110,57000,0.0
1114,57200,0.0
1118,57400,0.0
1122,57600,0.0
1127,57800,0.0
1132,58000,0.0
1136,58200,0.0
1141,58400,0.0
1144,58600,0.0
1148,58800,0.0
1151,59000,0.0
1154,59200,0.0
1158,59400,0.0
1163,59600,0.0
1166,59800,0.0
1170,60000,0.0
1174,60200,0.0
1179,60400,0.0
1182,60600,0.0
1185,60800,0.0
1190,61000,0.0
1193,61200,0.0
1196,61400,0.0
1199,61600,0.0
1203,61800,0.0
1207,62000,0.0
1210,62200,0.0
1215,62400,0.0
1219,62600,0.0
1223,62800,0.0
1227,63000,0.0
1231,63200,0.0
1234,63400,0.0
1238,63600,0.0
1242,63800,0.0
1246,64000,0.0
1250,64200,0.0
1254,64400,0.0
1258,64600,0.0
1262,64800,0.0
1266,65000,0.0
1269,65200,0.0
1274,65400,0.0
1278,65600,0.0
1281,65800,0.0
1285,66000,0.0
1289,66200,0.0
1293,66400,0.0
1297,66600,0.0
1302,66800,0.0
1305,67000,0.0
1310,67200,0.0
1315,67400,0.0
1319,67600,0.0
1323,67800,0.0
1328,68000,0.0
1331,68200,0.0
1334,68400,0.0
1338,68600,0.0
1341,68800,0.0
1346,69000,0.0
1350,69200,0.0
1353,69400,0.0
1357,69600,0.0
1362,69800,0.0
1365,70000,0.0
1369,70200,0.0
1373,70400,0.0
1376,70600,0.0
1380,70800,0.0
1383,71000,0.0
1386,71200,0.0
1390,71400,0.0
1394,71600,0.0
1398,71800,0.0
1402,72000,0.0
1406,72200,0.0
1411,72400,0.0
1415,72600,0.0
1418,72800,0.0
1421,73000,0.0
1425,73200,0.0
1429,73400,0.0
1433,73600,0.0
1437,73800,0.0
1441,74000,0.0
1445,74200,0.0
1449,74400,0.0
1452,74600,0.0
1457,74800,0.0
