episode,final_balance,cum_reward
290,1009.00,9.00
291,1013.00,13.00
292,1015.00,15.00
293,977.00,-23.00
294,1021.00,21.00
295,1000.00,0.00
296,981.00,-19.00
297,1001.00,1.00
298,1019.00,19.00
299,989.00,-11.00
300,1007.00,7.00
301,1022.00,22.00
302,975.00,-25.00
303,995.00,-5.00
304,1000.00,0.00
305,1003.00,3.00
306,1008.00,8.00
307,1002.00,2.00
308,1017.00,17.00
309,1014.00,14.00
310,1005.00,5.00
311,1009.00,9.00
312,1021.00,21.00
313,1008.00,8.00
314,1021.00,21.00
315,1000.00,0.00
316,1003.00,3.00
317,1019.00,19.00
318,999.00,-1.00
319,1011.00,11.00
320,992.00,-8.00
321,1004.00,4.00
322,998.00,-2.00
323,991.00,-9.00
324,1009.00,9.00
325,1002.00,2.00
326,1015.00,15.00
327,1029.00,29.00
328,1018.00,18.00
329,1010.00,10.00
330,1003.00,3.00
331,1003.00,3.00
332,1007.00,7.00
333,1020.00,20.00
334,1027.00,27.00
335,1001.00,1.00
336,1005.00,5.00
337,1019.00,19.00
338,1009.00,9.00
339,1013.00,13.00
340,994.00,-6.00
341,1007.00,7.00
342,978.00,-22.00
343,1009.00,9.00
344,1013.00,13.00
345,1025.00,25.00
346,1006.00,6.00
347,1008.00,8.00
348,998.00,-2.00
349,996.00,-4.00
350,996.00,-4.00
351,1005.00,5.00
352,1002.00,2.00
353,1013.00,13.00
354,1015.00,15.00
355,1032.00,32.00
356,1014.00,14.00
357,1015.00,15.00
358,1013.00,13.00
359,999.00,-1.00
360,1007.00,7.00
361,1015.00,15.00
362,996.00,-4.00
363,997.00,-3.00
364,1010.00,10.00
365,1009.00,9.00
366,1028.00,28.00
367,1006.00,6.00
368,1004.00,4.00
369,1014.00,14.00
370,992.00,-8.00
371,1019.00,19.00
372,996.00,-4.00
373,986.00,-14.00
374,1023.00,23.00
375,1014.00,14.00
376,1019.00,19.00
377,999.00,-1.00
378,1010.00,10.00
379,1020.00,20.00
380,997.00,-3.00
381,1011.00,11.00
382,1024.00,24.00
383,992.00,-8.00
384,1010.00,10.00
385,1018.00,18.00
386,994.00,-6.00
387,1016.00,16.00
388,997.00,-3.00
389,1018.00,18.00
390,1006.00,6.00
391,1005.00,5.00
392,1018.00,18.00
393,1000.00,0.00
394,993.00,-7.00
395,981.00,-19.00
396,1007.00,7.00
397,1020.00,20.00
398,1003.00,3.00
399,1008.00,8.00
400,1021.00,21.00
401,1038.00,38.00
402,1003.00,3.00
403,1028.00,28.00
404,1018.00,18.00
405,1004.00,4.00
406,1019.00,19.00
407,992.00,-8.00
408,1008.00,8.00
409,1015.00,15.00
410,979.00,-21.00
411,1005.00,5.00
412,995.00,-5.00
413,993.00,-7.00
414,1023.00,23.00
415,1011.00,11.00
416,1019.00,19.00
417,999.00,-1.00
418,1009.00,9.00
419,1010.00,10.00
420,1002.00,2.00
421,1013.00,13.00
422,1007.00,7.00
423,1015.00,15.00
424,1004.00,4.00
425,1009.00,9.00
426,1008.00,8.00
427,1004.00,4.00
428,1022.00,22.00
429,1013.00,13.00
430,1004.00,4.00
431,1017.00,17.00
432,1009.00,9.00
433,1023.00,23.00
434,1003.00,3.00
435,994.00,-6.00
436,1009.00,9.00
437,1013.00,13.00
438,1011.00,11.00
439,1024.00,24.00
440,1024.00,24.00
441,995.00,-5.00
442,992.00,-8.00
443,1009.00,9.00
444,1022.00,22.00
445,996.00,-4.00
446,1011.00,11.00
447,1010.00,10.00
448,1016.00,16.00
449,986.00,-14.00
450,1012.00,12.00
451,1027.00,27.00
452,1008.00,8.00
453,1023.00,23.00
454,1015.00,15.00
455,1008.00,8.00
456,1007.00,7.00
457,1023.00,23.00
458,1025.00,25.00
459,999.00,-1.00
460,1012.00,12.00
461,980.00,-20.00
462,996.00,-4.00
463,999.00,-1.00
464,988.00,-12.00
465,1020.00,20.00
466,1013.00,13.00
467,998.00,-2.00
468,1016.00,16.00
469,1017.00,17.00
470,1002.00,2.00
471,1007.00,7.00
472,1000.00,0.00
473,1004.00,4.00
474,979.00,-21.00
475,982.00,-18.00
476,1000.00,0.00
477,1003.00,3.00
478,1016.00,16.00
479,1006.00,6.00
480,1011.00,11.00
481,1019.00,19.00
482,1013.00,13.00
483,1001.00,1.00
484,987.00,-13.00
485,1006.00,6.00
486,1008.00,8.00
487,1024.00,24.00
488,1000.00,0.00
489,1009.00,9.00
490,1026.00,26.00
491,1024.00,24.00
492,1005.00,5.00
493,1022.00,22.00
494,1022.00,22.00
495,1019.00,19.00
496,1019.00,19.00
497,995.00,-5.00
498,1016.00,16.00
499,979.00,-21.00
500,1011.00,11.00
501,1027.00,27.00
502,993.00,-7.00
503,1009.00,9.00
504,1023.00,23.00
505,1007.00,7.00
506,995.00,-5.00
507,1028.00,28.00
508,1014.00,14.00
509,1006.00,6.00
510,1012.00,12.00
511,1001.00,1.00
512,1013.00,13.00
513,1030.00,30.00
514,1021.00,21.00
515,1017.00,17.00
516,1009.00,9.00
517,999.00,-1.00
518,1013.00,13.00
519,1025.00,25.00
520,1018.00,18.00
521,1024.00,24.00
522,1012.00,12.00
523,1025.00,25.00
524,994.00,-6.00
525,1013.00,13.00
526,1027.00,27.00
527,1017.00,17.00
528,1007.00,7.00
529,1018.00,18.00
530,1017.00,17.00
531,1006.00,6.00
532,995.00,-5.00
533,1006.00,6.00
534,1023.00,23.00
535,995.00,-5.00
536,1011.00,11.00
537,1029.00,29.00
538,1017.00,17.00
539,1020.00,20.00
540,1003.00,3.00
541,1021.00,21.00
542,1033.00,33.00
543,1000.00,0.00
544,1026.00,26.00
545,1027.00,27.00
546,1014.00,14.00
547,1041.00,41.00
548,1008.00,8.00
549,1020.00,20.00
550,1010.00,10.00
551,996.00,-4.00
552,1024.00,24.00
553,1000.00,0.00
554,1018.00,18.00
555,1003.00,3.00
556,1023.00,23.00
557,1010.00,10.00
558,1013.00,13.00
559,1025.00,25.00
560,998.00,-2.00
561,999.00,-1.00
562,1010.00,10.00
563,1015.00,15.00
564,1009.00,9.00
565,1020.00,20.00
566,1004.00,4.00
567,1001.00,1.00
568,1023.00,23.00
569,1021.00,21.00
570,1008.00,8.00
571,1028.00,28.00
572,1004.00,4.00
573,995.00,-5.00
574,998.00,-2.00
575,995.00,-5.00
576,1026.00,26.00
577,1014.00,14.00
578,1018.00,18.00
579,1023.00,23.00
580,1017.00,17.00
581,1022.00,22.00
582,1003.00,3.00
583,991.00,-9.00
584,1019.00,19.00
585,1015.00,15.00
586,1014.00,14.00
587,1033.00,33.00
588,994.00,-6.00
589,1016.00,16.00
590,997.00,-3.00
591,994.00,-6.00
592,997.00,-3.00
593,1015.00,15.00
594,1016.00,16.00
595,1023.00,23.00
596,1010.00,10.00
597,1019.00,19.00
598,1004.00,4.00
599,1020.00,20.00
600,1026.00,26.00
601,1009.00,9.00
602,1022.00,22.00
603,1022.00,22.00
604,1032.00,32.00
605,1001.00,1.00
606,1005.00,5.00
607,1008.00,8.00
608,1027.00,27.00
609,1019.00,19.00
610,1007.00,7.00
611,1026.00,26.00
612,1034.00,34.00
613,1008.00,8.00
614,1000.00,0.00
615,978.00,-22.00
616,995.00,-5.00
617,1030.00,30.00
618,1020.00,20.00
619,1007.00,7.00
620,988.00,-12.00
621,1026.00,26.00
622,995.00,-5.00
623,997.00,-3.00
624,1032.00,32.00
625,1017.00,17.00
626,1017.00,17.00
627,1021.00,21.00
628,994.00,-6.00
629,1017.00,17.00
630,1005.00,5.00
631,1006.00,6.00
632,1020.00,20.00
633,1028.00,28.00
634,1030.00,30.00
635,1009.00,9.00
636,1019.00,19.00
637,1014.00,14.00
638,1002.00,2.00
639,1021.00,21.00
640,1005.00,5.00
641,1019.00,19.00
642,1020.00,20.00
643,1022.00,22.00
644,1012.00,12.00
645,1026.00,26.00
646,1007.00,7.00
647,1010.00,10.00
648,983.00,-17.00
649,990.00,-10.00
650,988.00,-12.00
651,1030.00,30.00
652,1013.00,13.00
653,1024.00,24.00
654,1023.00,23.00
655,983.00,-17.00
656,999.00,-1.00
657,1023.00,23.00
658,1011.00,11.00
659,1010.00,10.00
660,1012.00,12.00
661,1012.00,12.00
662,1017.00,17.00
663,1030.00,30.00
664,1032.00,32.00
665,1030.00,30.00
666,1021.00,21.00
667,1009.00,9.00
668,1022.00,22.00
669,1016.00,16.00
670,1008.00,8.00
671,1022.00,22.00
672,1008.00,8.00
673,994.00,-6.00
674,1001.00,1.00
675,993.00,-7.00
676,998.00,-2.00
677,996.00,-4.00
678,998.00,-2.00
679,1021.00,21.00
680,1033.00,33.00
681,1013.00,13.00
682,1009.00,9.00
683,1020.00,20.00
684,1024.00,24.00
685,1012.00,12.00
686,1008.00,8.00
687,1026.00,26.00
688,1031.00,31.00
689,1017.00,17.00
690,1017.00,17.00
691,1024.00,24.00
692,1029.00,29.00
693,1015.00,15.00
694,1017.00,17.00
695,1025.00,25.00
696,995.00,-5.00
697,1021.00,21.00
698,1002.00,2.00
699,1010.00,10.00
700,1022.00,22.00
701,1016.00,16.00
702,1027.00,27.00
703,1010.00,10.00
704,1003.00,3.00
705,1019.00,19.00
706,1015.00,15.00
707,993.00,-7.00
708,998.00,-2.00
709,1030.00,30.00
710,1004.00,4.00
711,1011.00,11.00
712,1033.00,33.00
713,1019.00,19.00
714,995.00,-5.00
715,1003.00,3.00
716,1034.00,34.00
717,1024.00,24.00
718,1023.00,23.00
719,1021.00,21.00
720,1024.00,24.00
721,1012.00,12.00
722,1019.00,19.00
723,1018.00,18.00
724,1018.00,18.00
725,1004.00,4.00
726,1036.00,36.00
727,1027.00,27.00
728,1001.00,1.00
729,985.00,-15.00
730,1011.00,11.00
731,1017.00,17.00
732,1029.00,29.00
733,1001.00,1.00
734,1017.00,17.00
735,1013.00,13.00
736,1021.00,21.00
737,999.00,-1.00
738,1008.00,8.00
739,1021.00,21.00
740,1027.00,27.00
741,1013.00,13.00
742,1017.00,17.00
743,1027.00,27.00
744,1023.00,23.00
745,988.00,-12.00
746,1026.00,26.00
747,999.00,-1.00
748,1015.00,15.00
749,1013.00,13.00
750,984.00,-16.00
751,1005.00,5.00
752,1028.00,28.00
753,1011.00,11.00
754,995.00,-5.00
755,1030.00,30.00
756,1005.00,5.00
757,1012.00,12.00
758,1023.00,23.00
759,1004.00,4.00
760,1018.00,18.00
761,992.00,-8.00
762,1026.00,26.00
763,1013.00,13.00
764,1019.00,19.00
765,1003.00,3.00
766,1033.00,33.00
767,984.00,-16.00
768,1023.00,23.00
769,1036.00,36.00
770,1024.00,24.00
771,1023.00,23.00
772,1030.00,30.00
773,1016.00,16.00
774,973.00,-27.00
775,1008.00,8.00
776,1017.00,17.00
777,1022.00,22.00
778,1011.00,11.00
779,1007.00,7.00
780,1010.00,10.00
781,996.00,-4.00
782,1013.00,13.00
783,1001.00,1.00
784,1011.00,11.00
785,1014.00,14.00
786,1020.00,20.00
787,990.00,-10.00
788,1001.00,1.00
789,987.00,-13.00
790,1014.00,14.00
791,1015.00,15.00
792,997.00,-3.00
793,1001.00,1.00
794,1029.00,29.00
795,990.00,-10.00
796,983.00,-17.00
797,976.00,-24.00
798,1015.00,15.00
799,1032.00,32.00
800,1034.00,34.00
801,1031.00,31.00
802,1021.00,21.00
803,1007.00,7.00
804,1007.00,7.00
805,990.00,-10.00
806,1002.00,2.00
807,1014.00,14.00
808,1029.00,29.00
809,1029.00,29.00
810,1023.00,23.00
811,1027.00,27.00
812,1002.00,2.00
813,1030.00,30.00
814,1026.00,26.00
815,1025.00,25.00
816,1035.00,35.00
817,1019.00,19.00
818,1007.00,7.00
819,1017.00,17.00
820,1019.00,19.00
821,1007.00,7.00
822,1014.00,14.00
823,1008.00,8.00
824,1021.00,21.00
825,1014.00,14.00
826,1025.00,25.00
827,994.00,-6.00
828,1029.00,29.00
829,1001.00,1.00
830,1010.00,10.00
831,1028.00,28.00
832,1009.00,9.00
833,1020.00,20.00
834,1003.00,3.00
835,1015.00,15.00
836,996.00,-4.00
837,1027.00,27.00
838,1008.00,8.00
839,999.00,-1.00
840,1005.00,5.00
841,1019.00,19.00
842,999.00,-1.00
843,1020.00,20.00
844,1031.00,31.00
845,1023.00,23.00
846,1022.00,22.00
847,1019.00,19.00
848,1010.00,10.00
849,1012.00,12.00
850,999.00,-1.00
851,1029.00,29.00
852,993.00,-7.00
853,1004.00,4.00
854,1027.00,27.00
855,986.00,-14.00
856,1011.00,11.00
857,1021.00,21.00
858,1005.00,5.00
859,1017.00,17.00
860,1027.00,27.00
861,992.00,-8.00
862,1010.00,10.00
863,1027.00,27.00
864,1027.00,27.00
865,1002.00,2.00
866,1013.00,13.00
867,1013.00,13.00
868,1010.00,10.00
869,1015.00,15.00
870,1019.00,19.00
871,1009.00,9.00
872,999.00,-1.00
873,1009.00,9.00
874,1005.00,5.00
875,1032.00,32.00
876,1021.00,21.00
877,1022.00,22.00
878,1028.00,28.00
879,1028.00,28.00
880,1002.00,2.00
881,1019.00,19.00
882,1021.00,21.00
883,1004.00,4.00
884,1031.00,31.00
885,977.00,-23.00
886,1012.00,12.00
887,1031.00,31.00
888,1007.00,7.00
889,1000.00,0.00
890,1010.00,10.00
891,1007.00,7.00
892,997.00,-3.00
893,1027.00,27.00
894,1003.00,3.00
895,1020.00,20.00
896,1009.00,9.00
897,1011.00,11.00
898,1028.00,28.00
899,998.00,-2.00
900,1002.00,2.00
901,1023.00,23.00
902,997.00,-3.00
903,987.00,-13.00
904,1008.00,8.00
905,1023.00,23.00
906,1029.00,29.00
907,1011.00,11.00
908,1034.00,34.00
909,1023.00,23.00
910,1014.00,14.00
911,1007.00,7.00
912,981.00,-19.00
913,1027.00,27.00
914,989.00,-11.00
915,1035.00,35.00
916,1025.00,25.00
917,1012.00,12.00
918,1024.00,24.00
919,1016.00,16.00
920,1026.00,26.00
921,1029.00,29.00
922,1023.00,23.00
923,1024.00,24.00
924,1002.00,2.00
925,1023.00,23.00
926,1022.00,22.00
927,1024.00,24.00
928,1018.00,18.00
929,1024.00,24.00
930,1014.00,14.00
931,1026.00,26.00
932,997.00,-3.00
933,1029.00,29.00
934,1026.00,26.00
935,1028.00,28.00
936,1024.00,24.00
937,998.00,-2.00
938,1030.00,30.00
939,1016.00,16.00
940,1024.00,24.00
941,1033.00,33.00
942,1031.00,31.00
943,1040.00,40.00
944,1036.00,36.00
945,1014.00,14.00
946,1014.00,14.00
947,984.00,-16.00
948,1019.00,19.00
949,1028.00,28.00
950,1023.00,23.00
951,994.00,-6.00
952,1036.00,36.00
953,1016.00,16.00
954,1016.00,16.00
955,1019.00,19.00
956,989.00,-11.00
957,989.00,-11.00
958,1006.00,6.00
959,1022.00,22.00
960,999.00,-1.00
961,1017.00,17.00
962,1019.00,19.00
963,1029.00,29.00
964,1036.00,36.00
965,1026.00,26.00
966,1021.00,21.00
967,992.00,-8.00
968,1023.00,23.00
969,1010.00,10.00
970,1029.00,29.00
971,1033.00,33.00
972,1013.00,13.00
973,1015.00,15.00
974,1008.00,8.00
975,1037.00,37.00
976,1016.00,16.00
977,1020.00,20.00
978,1028.00,28.00
979,1013.00,13.00
980,1009.00,9.00
981,1020.00,20.00
982,993.00,-7.00
983,1024.00,24.00
984,1015.00,15.00
985,1034.00,34.00
986,1007.00,7.00
987,995.00,-5.00
988,1023.00,23.00
989,1028.00,28.00
990,1008.00,8.00
991,1005.00,5.00
992,1017.00,17.00
993,1027.00,27.00
994,1018.00,18.00
995,1019.00,19.00
996,996.00,-4.00
997,1030.00,30.00
998,1018.00,18.00
999,1033.00,33.00
1000,1010.00,10.00
1001,1007.00,7.00
1002,1018.00,18.00
1003,1024.00,24.00
1004,1024.00,24.00
1005,1002.00,2.00
1006,1018.00,18.00
1007,1021.00,21.00
1008,1014.00,14.00
1009,976.00,-24.00
1010,999.00,-1.00
1011,1009.00,9.00
1012,981.00,-19.00
1013,1038.00,38.00
1014,1030.00,30.00
1015,1004.00,4.00
1016,980.00,-20.00
1017,1022.00,22.00
1018,1019.00,19.00
1019,1006.00,6.00
1020,1027.00,27.00
1021,971.00,-29.00
1022,1016.00,16.00
1023,1008.00,8.00
1024,1021.00,21.00
1025,1027.00,27.00
1026,1004.00,4.00
1027,1015.00,15.00
1028,1028.00,28.00
1029,1037.00,37.00
1030,1002.00,2.00
1031,999.00,-1.00
1032,988.00,-12.00
1033,1017.00,17.00
1034,995.00,-5.00
1035,1035.00,35.00
1036,1024.00,24.00
1037,990.00,-10.00
1038,1017.00,17.00
1039,1015.00,15.00
1040,1013.00,13.00
1041,1017.00,17.00
1042,1029.00,29.00
1043,1008.00,8.00
1044,1027.00,27.00
1045,1020.00,20.00
1046,1029.00,29.00
1047,1009.00,9.00
1048,1030.00,30.00
1049,1049.00,49.00
1050,1009.00,9.00
1051,1015.00,15.00
1052,1013.00,13.00
1053,1019.00,19.00
1054,1037.00,37.00
1055,996.00,-4.00
1056,1003.00,3.00
1057,1042.00,42.00
1058,1004.00,4.00
1059,1027.00,27.00
1060,973.00,-27.00
1061,1003.00,3.00
1062,1031.00,31.00
1063,1038.00,38.00
1064,1020.00,20.00
1065,999.00,-1.00
1066,1002.00,2.00
1067,1031.00,31.00
1068,1007.00,7.00
1069,1028.00,28.00
1070,996.00,-4.00
1071,1025.00,25.00
1072,1009.00,9.00
1073,1015.00,15.00
1074,1020.00,20.00
1075,1008.00,8.00
1076,992.00,-8.00
1077,1008.00,8.00
1078,1021.00,21.00
1079,1021.00,21.00
1080,992.00,-8.00
1081,1013.00,13.00
1082,1003.00,3.00
1083,1019.00,19.00
1084,1012.00,12.00
1085,1004.00,4.00
1086,996.00,-4.00
1087,1046.00,46.00
1088,1013.00,13.00
1089,1034.00,34.00
1090,1016.00,16.00
1091,1024.00,24.00
1092,1025.00,25.00
1093,1018.00,18.00
1094,1024.00,24.00
1095,1023.00,23.00
1096,987.00,-13.00
1097,1025.00,25.00
1098,1013.00,13.00
1099,1011.00,11.00
1100,1028.00,28.00
1101,1031.00,31.00
1102,1010.00,10.00
1103,1007.00,7.00
1104,1037.00,37.00
1105,1014.00,14.00
1106,1023.00,23.00
1107,1010.00,10.00
1108,1029.00,29.00
1109,1022.00,22.00
1110,1026.00,26.00
1111,1022.00,22.00
1112,1017.00,17.00
1113,1013.00,13.00
1114,1023.00,23.00
1115,1031.00,31.00
1116,1033.00,33.00
1117,1022.00,22.00
1118,1030.00,30.00
1119,1009.00,9.00
1120,1017.00,17.00
1121,997.00,-3.00
1122,1017.00,17.00
1123,1027.00,27.00
1124,1013.00,13.00
1125,1014.00,14.00
1126,1021.00,21.00
1127,1019.00,19.00
1128,1014.00,14.00
1129,1033.00,33.00
1130,995.00,-5.00
1131,993.00,-7.00
1132,1029.00,29.00
1133,1021.00,21.00
1134,986.00,-14.00
1135,1023.00,23.00
1136,1018.00,18.00
1137,1019.00,19.00
1138,1034.00,34.00
1139,1028.00,28.00
1140,1025.00,25.00
1141,1025.00,25.00
1142,1019.00,19.00
1143,1042.00,42.00
1144,1005.00,5.00
1145,1024.00,24.00
1146,1014.00,14.00
1147,974.00,-26.00
1148,1021.00,21.00
1149,1033.00,33.00
1150,1008.00,8.00
1151,1013.00,13.00
1152,1015.00,15.00
1153,1024.00,24.00
1154,1024.00,24.00
1155,1026.00,26.00
1156,1006.00,6.00
1157,1031.00,31.00
1158,1001.00,1.00
1159,1030.00,30.00
1160,1026.00,26.00
1161,1029.00,29.00
1162,1025.00,25.00
1163,1041.00,41.00
1164,1012.00,12.00
1165,996.00,-4.00
1166,1033.00,33.00
1167,1016.00,16.00
1168,1010.00,10.00
1169,979.00,-21.00
1170,1031.00,31.00
1171,1013.00,13.00
1172,1023.00,23.00
1173,1015.00,15.00
1174,1036.00,36.00
1175,1021.00,21.00
1176,1046.00,46.00
1177,997.00,-3.00
1178,1008.00,8.00
1179,1029.00,29.00
1180,996.00,-4.00
1181,1032.00,32.00
1182,998.00,-2.00
1183,1009.00,9.00
